,ts,year,month,day,hour,generation_solar,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,price_day_ahead,price_actual
5010,2015-07-29 07:00:00,2015,7,4,7,2338,0,1266,2781,1333,68.3,80.15
5011,2015-07-29 08:00:00,2015,7,4,8,3992,0,1214,3998,1229,68.46,81.36
5012,2015-07-29 09:00:00,2015,7,4,9,4706,0,1280,4492,1317,70.0,87.61
5013,2015-07-29 10:00:00,2015,7,4,10,5018,0,1458,5180,1466,70.68,88.13
5014,2015-07-29 11:00:00,2015,7,4,11,5132,0,1960,5397,1871,70.01,87.75
5015,2015-07-29 12:00:00,2015,7,4,12,5154,0,2789,5292,2645,67.1,84.88
5016,2015-07-29 13:00:00,2015,7,4,13,5056,0,3799,5123,3629,65.1,81.59
5017,2015-07-29 14:00:00,2015,7,4,14,4762,0,4986,4871,4828,63.49,79.4
5018,2015-07-29 15:00:00,2015,7,4,15,4262,0,6098,4462,5872,62.57,78.54
5019,2015-07-29 16:00:00,2015,7,4,16,3704,0,6817,3828,6945,59.68,76.49
5020,2015-07-29 17:00:00,2015,7,4,17,3113,0,6911,2977,7104,57.1,71.43
5021,2015-07-29 18:00:00,2015,7,4,18,2002,0,6998,1830,6932,54.72,69.72
5022,2015-07-29 19:00:00,2015,7,4,19,1011,0,6867,1016,6913,62.1,76.65
5023,2015-07-29 20:00:00,2015,7,4,20,720,0,6787,697,6782,62.93,77.0
5024,2015-07-29 21:00:00,2015,7,4,21,693,0,6813,627,6794,54.72,69.0
5025,2015-07-29 22:00:00,2015,7,5,22,690,0,6564,609,6587,49.1,58.55
5026,2015-07-29 23:00:00,2015,7,5,23,666,0,6301,592,6391,46.79,57.55
5027,2015-07-30 00:00:00,2015,7,5,0,630,0,5958,580,6002,45.5,56.73
5028,2015-07-30 01:00:00,2015,7,5,1,615,0,6016,579,5875,45.0,56.95
5029,2015-07-30 02:00:00,2015,7,5,2,612,0,6185,601,6123,42.8,55.03
5030,2015-07-30 03:00:00,2015,7,5,3,622,0,6085,538,6180,44.7,57.0
5031,2015-07-30 04:00:00,2015,7,5,4,496,0,5994,473,6037,45.8,57.06
5032,2015-07-30 05:00:00,2015,7,5,5,355,0,5901,438,5944,47.36,55.27
5033,2015-07-30 06:00:00,2015,7,5,6,705,0,5849,939,5892,54.1,67.4
5034,2015-07-30 07:00:00,2015,7,5,7,2199,0,5699,2426,5675,61.98,75.34
5035,2015-07-30 08:00:00,2015,7,5,8,3683,0,5686,3650,5600,62.47,76.61
5036,2015-07-30 09:00:00,2015,7,5,9,4269,0,5502,4147,5507,63.27,80.91
5037,2015-07-30 10:00:00,2015,7,5,10,4602,0,5561,4514,5413,64.03,81.37
5038,2015-07-30 11:00:00,2015,7,5,11,4843,0,5711,4787,5626,64.27,81.91
5039,2015-07-30 12:00:00,2015,7,5,12,4963,0,5946,4813,6007,62.6,80.48
5040,2015-07-30 13:00:00,2015,7,5,13,4922,0,6233,4778,6105,62.0,78.53
5041,2015-07-30 14:00:00,2015,7,5,14,4668,0,6549,4616,6499,62.1,77.48
5042,2015-07-30 15:00:00,2015,7,5,15,4245,0,6766,4224,6651,62.47,78.28
5043,2015-07-30 16:00:00,2015,7,5,16,3748,0,6675,3707,6819,60.91,77.65
5044,2015-07-30 17:00:00,2015,7,5,17,3066,0,7141,3063,6718,59.1,73.02
5045,2015-07-30 18:00:00,2015,7,5,18,2006,0,7308,2006,7307,61.57,75.29
5046,2015-07-30 19:00:00,2015,7,5,19,996,0,7161,1035,7083,63.49,76.98
5047,2015-07-30 20:00:00,2015,7,5,20,732,0,6974,695,7025,63.49,76.89
5048,2015-07-30 21:00:00,2015,7,5,21,713,0,6615,666,6678,57.1,69.8
5049,2015-07-30 22:00:00,2015,7,6,22,713,0,6196,645,6247,55.01,62.2
5050,2015-07-30 23:00:00,2015,7,6,23,710,0,5838,646,5839,47.87,55.6
5051,2015-07-31 00:00:00,2015,7,6,0,705,0,5578,642,5569,46.79,53.9
5052,2015-07-31 01:00:00,2015,7,6,1,674,0,5472,610,5405,46.61,53.46
5053,2015-07-31 02:00:00,2015,7,6,2,672,0,5446,609,5519,46.37,53.14
5054,2015-07-31 03:00:00,2015,7,6,3,637,0,5245,528,5130,46.61,53.27
5055,2015-07-31 04:00:00,2015,7,6,4,478,0,5297,417,5322,48.0,55.25
5056,2015-07-31 05:00:00,2015,7,6,5,304,0,4626,399,5145,52.57,59.43
5057,2015-07-31 06:00:00,2015,7,6,6,588,0,4047,922,4240,59.0,72.38
5058,2015-07-31 07:00:00,2015,7,6,7,1718,0,3768,2286,3875,62.93,77.06
5059,2015-07-31 08:00:00,2015,7,6,8,3090,0,3729,3430,3917,63.93,77.58
