,ts,generation_solar,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,price_day_ahead,price_actual
20040,2017-04-15 16:00:00,3266,0,6450,3322,6414,36.0,46.03
20041,2017-04-15 17:00:00,1907,0,6522,2132,6702,39.24,48.68
20042,2017-04-15 18:00:00,773,0,6498,997,6584,44.91,53.36
20043,2017-04-15 19:00:00,407,0,6856,435,6718,50.9,58.25
20044,2017-04-15 20:00:00,293,0,7030,294,7155,46.7,54.5
20045,2017-04-15 21:00:00,208,0,6853,257,7070,46.07,53.78
20046,2017-04-15 22:00:00,200,0,6586,200,6663,46.95,56.44
20047,2017-04-15 23:00:00,188,0,6406,149,6496,38.59,49.15
20048,2017-04-16 00:00:00,152,0,6204,137,6235,35.51,46.39
20049,2017-04-16 01:00:00,135,0,6095,102,6094,33.99,45.89
20050,2017-04-16 02:00:00,75,0,5812,59,5933,33.1,45.35
20051,2017-04-16 03:00:00,33,0,5293,28,5510,32.62,44.0
20052,2017-04-16 04:00:00,30,0,4708,14,4916,32.62,43.09
20053,2017-04-16 05:00:00,51,0,4472,64,4490,32.12,42.75
20054,2017-04-16 06:00:00,472,0,4481,540,4456,33.32,45.27
20055,2017-04-16 07:00:00,1379,0,3788,1472,3991,37.84,49.81
20056,2017-04-16 08:00:00,2465,0,3515,2522,3488,40.0,49.57
20057,2017-04-16 09:00:00,3227,0,3462,3315,3416,40.0,49.8
20058,2017-04-16 10:00:00,3804,0,3320,3782,3399,40.0,49.69
20059,2017-04-16 11:00:00,4184,0,3144,4122,3214,40.49,50.39
20060,2017-04-16 12:00:00,4292,0,3092,4229,3118,40.49,50.58
20061,2017-04-16 13:00:00,4327,0,3196,4277,3221,39.6,49.86
20062,2017-04-16 14:00:00,4318,0,3192,4075,3220,38.9,49.34
20063,2017-04-16 15:00:00,3930,0,3402,3655,3348,39.24,48.87
20064,2017-04-16 16:00:00,3182,0,3432,3002,3502,38.9,48.71
20065,2017-04-16 17:00:00,2022,0,3433,2019,3484,40.49,49.81
20066,2017-04-16 18:00:00,859,0,3519,1043,3454,50.69,57.66
20067,2017-04-16 19:00:00,396,0,3924,623,3827,53.12,59.72
20068,2017-04-16 20:00:00,331,0,4004,342,4081,52.2,58.44
20069,2017-04-16 21:00:00,245,0,3879,246,3919,51.04,56.94
20070,2017-04-16 22:00:00,170,0,3620,247,3680,48.69,56.32
20071,2017-04-16 23:00:00,72,0,3344,205,3397,40.69,49.55
20072,2017-04-17 00:00:00,26,0,3126,125,3134,40.49,49.39
20073,2017-04-17 01:00:00,20,0,2783,79,2783,40.69,49.59
20074,2017-04-17 02:00:00,20,0,2345,58,2412,43.9,52.66
20075,2017-04-17 03:00:00,19,0,1969,11,2039,48.69,56.72
20076,2017-04-17 04:00:00,19,0,1685,5,1722,50.69,59.52
20077,2017-04-17 05:00:00,41,0,1438,73,1479,53.18,61.21
20078,2017-04-17 06:00:00,513,0,1294,696,1250,53.12,63.45
20079,2017-04-17 07:00:00,1685,0,912,1943,1040,53.96,62.88
20080,2017-04-17 08:00:00,3633,0,640,3826,688,52.15,60.53
20081,2017-04-17 09:00:00,4692,0,536,4748,578,51.43,60.23
